product_id,product_name,category,cost_price,selling_price,sub_category
1,Rodriguez Dumbbell Set,Sports,185520.0,,Fitness Equipment
2,Doyle Body Lotion,Health & Beauty,179150.0,287690.0,Skincare
3,Mcclain Women's Gown,Fashion,26000.0,36320.0,Women's Wear
4,  davis deodorant  ,Health & Beauty,154820.0,264760.0,Fragrances
5,Guzman Photo Frame,Home & Kitchen,41080.0,56730.0,Decor
6,Gardner Bookshelf,Home & Kitchen,210790.0,348730.0,Furniture
7,Blake Wallet,Fashion,221230.0,346860.0,Bags
8,Henderson Women's Skirt,Fashion,23180.0,27370.0,Women's Wear
9,Garcia-James Non-stick Pan,Home & Kitchen,,255720.0,Cookware
10,Abbott-Munoz Shampoo,Health & Beauty,217690.0,,Haircare
11,Blair Phone Case,Electronics,219740.0,371490.0,Mobile Phones
12,Dudley Hair Oil,Health & Beauty,165110.0,291490.0,Haircare
13,  arnold photo frame  ,Home & Kitchen,109810.0,,Decor
14,Mcclure Ultrabook,Electronics,226400.0,386860.0,Laptops
15,Williams Wallet,Fashion,48010.0,58240.0,Bags
16,Galloway-Wyatt Camping Tent,Sports,62540.0,79650.0,Outdoor Gear
17,James Smartphone,Electronics,242260.0,424470.0,Mobile Phones
18,Flowers Photo Frame,Home & Kitchen,106040.0,187930.0,Decor
19,Adams Hand Sanitizer,Health & Beauty,229890.0,343740.0,Wellness
20,Reid Shampoo,Health & Beauty,155040.0,220540.0,Haircare
21,GRAY-MAYO NON-STICK PAN,Home & Kitchen,114840.0,206600.0,Cookware
22,Watts Electric Kettle,Home & Kitchen,109830.0,165080.0,Appliances
23,Perez Sneakers,Fashion,222480.0,363210.0,Footwear
24,MORALES-JONES NOVEL,Books & Stationery,158750.0,268140.0,Fiction
25,Walter Bottled Water,Groceries,19270.0,33220.0,Beverages
26,Wilkerson-Day Short Story Collection,Books & Stationery,52910.0,69430.0,Fiction
27,Baker Women's Skirt,Fashion,6680.0,10880.0,Women's Wear
28,Hoffman Energy Drink,Groceries,56000.0,94120.0,Beverages
29,Ross USB Cable,Electronics,160550.0,226340.0,Accessories
30,Snyder Muesli,Groceries,,195760.0,Cereals
31,Burton Jersey Set,Sports,167820.0,232720.0,Team Sports
32,Carlson-Cruz Hiking Backpack,Sports,100900.0,135430.0,Outdoor Gear
33,Ferrell Short Story Collection,Books & Stationery,72080.0,103030.0,Fiction
34,Frazier USB Cable,Electronics,23800.0,42100.0,Accessories
35,Dyer Soundbar,Electronics,221590.0,337740.0,Audio
36,RODRIGUEZ-GRAHAM BISCUITS,Groceries,201130.0,322280.0,Snacks
37,Smith-Bowen Body Spray,Health & Beauty,153360.0,248060.0,Fragrances
38,BAKER WATER BOTTLE,Sports,121410.0,158500.0,Outdoor Gear
39,Harrell Backpack,Fashion,176750.0,210640.0,Bags
40,Romero Action Camera,Electronics,119510.0,210670.0,Cameras
41,Ryan Backpack,Fashion,68600.0,100540.0,Bags
42,George Wireless Earbuds,Electronics,21440.0,30630.0,Audio
